Rk;G;Date;Age;Tm;Away;Opp;Win;GS;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;+/-
1;1;25/10/2023;19-294;SAS;Home;DAL;-7;1;23;6;9;.667;3;5;.600;0;1;.000;0;5;5;2;2;1;5;5;15;9.3;0
2;2;27/10/2023;19-296;SAS;Home;HOU;4;1;31;7;19;.368;0;6;.000;7;8;.875;5;7;12;1;3;3;4;2;21;16.7;9
3;3;29/10/2023;19-298;SAS;Home;LAC;-40;1;26;4;10;.400;0;2;.000;3;6;.500;1;4;5;2;1;1;5;1;11;4.0;-14
4;4;31/10/2023;19-300;SAS;Away;PHO;1;1;28;6;12;.500;2;6;.333;4;5;.800;3;5;8;1;0;4;5;3;18;12.5;-3
5;5;02/11/2023;19-302;SAS;Away;PHO;11;1;34;15;26;.577;3;6;.500;5;6;.833;2;8;10;2;1;2;2;3;38;29.8;21
6;6;05/11/2023;19-305;SAS;Home;TOR;-7;1;38;7;16;.438;2;7;.286;4;5;.800;2;7;9;4;1;5;2;1;20;19.6;-16
7;7;06/11/2023;19-306;SAS;Home;IND;-41;1;21;3;12;.250;2;5;.400;5;6;.833;1;9;10;0;1;2;2;1;13;8.8;-9
8;8;08/11/2023;19-308;SAS;Home;NYK;-21;1;30;4;14;.286;0;4;.000;6;6;1.000;4;5;9;2;0;1;3;2;14;8.4;-25
9;9;10/11/2023;19-310;SAS;Home;MIN;-7;1;35;12;21;.571;3;7;.429;2;4;.500;1;8;9;4;1;4;3;5;29;23.0;3
10;10;12/11/2023;19-312;SAS;Home;MIA;-5;1;34;8;22;.364;2;9;.222;0;0;;1;10;11;7;1;1;7;3;18;7.9;5
11;11;14/11/2023;19-314;SAS;Away;OKC;-36;1;28;4;15;.267;0;3;.000;0;0;;3;11;14;2;0;2;5;2;8;1.5;-31
12;12;17/11/2023;19-317;SAS;Home;SAC;-9;1;30;12;26;.462;2;8;.250;1;1;1.000;1;8;9;0;2;0;4;3;27;13.5;-31
13;13;18/11/2023;19-318;SAS;Home;MEM;-12;1;31;6;17;.353;2;6;.333;5;6;.833;4;9;13;4;1;8;2;5;19;20.0;-6
14;14;20/11/2023;19-320;SAS;Home;LAC;-25;1;27;4;12;.333;0;4;.000;1;1;1.000;0;3;3;4;0;2;1;1;9;5.9;-17
15;15;22/11/2023;19-322;SAS;Home;LAC;-7;1;33;7;13;.538;1;2;.500;7;7;1.000;2;13;15;3;1;3;2;2;22;23.4;-3
16;16;24/11/2023;19-324;SAS;Away;GSW;-6;1;35;8;18;.444;1;6;.167;5;5;1.000;2;7;9;4;1;2;6;2;22;14.5;2
17;17;26/11/2023;19-326;SAS;Away;DEN;-12;1;25;7;17;.412;2;5;.400;6;7;.857;4;7;11;2;6;4;3;4;22;23.0;-10
18;18;30/11/2023;19-330;SAS;Home;ATL;-2;1;29;9;16;.563;1;5;.200;2;2;1.000;2;10;12;2;2;4;2;1;21;21.6;0
19;;01/12/2023;19-331;SAS;Away;NOP;-15;Inactive;0;;;;;;;;;;;;;;;;;;;;
20;19;06/12/2023;19-336;SAS;Away;MIN;-8;1;32;4;13;.308;0;2;.000;4;6;.667;3;7;10;1;1;1;2;1;12;7.9;4
21;20;08/12/2023;19-338;SAS;Home;CHI;-9;1;32;8;20;.400;0;4;.000;5;6;.833;7;13;20;4;1;4;1;2;21;23.4;-22
22;21;11/12/2023;19-341;SAS;Away;HOU;-11;1;33;7;15;.467;1;6;.167;0;1;.000;2;16;18;3;0;5;5;3;15;12.5;-12
23;22;13/12/2023;19-343;SAS;Away;LAL;-3;1;33;11;21;.524;4;5;.800;4;7;.571;4;9;13;2;3;6;5;6;30;25.2;-5
24;23;15/12/2023;19-345;SAS;Away;LAL;14;1;31;5;13;.385;1;2;.500;2;3;.667;3;12;15;5;2;2;2;3;13;14.9;19
25;24;17/12/2023;19-347;SAS;Away;NOP;-36;1;31;6;13;.462;2;6;.333;3;4;.750;1;12;13;4;1;4;3;2;17;17.0;-14
26;;19/12/2023;19-349;SAS;Away;MIL;-13;Inactive;0;;;;;;;;;;;;;;;;;;;;
27;25;21/12/2023;19-351;SAS;Away;CHI;-19;1;22;3;8;.375;0;1;.000;1;3;.333;0;5;5;5;2;3;2;0;7;8.9;-7
28;;23/12/2023;19-353;SAS;Away;DAL;-25;Did Not Play;0;;;;;;;;;;;;;;;;;;;;
29;26;26/12/2023;19-356;SAS;Home;UTA;-12;1;24;6;15;.400;1;4;.250;2;3;.667;2;5;7;4;1;5;4;1;15;12.3;-9
30;27;28/12/2023;19-358;SAS;Away;POR;13;1;24;9;14;.643;2;4;.500;10;10;1.000;0;6;6;6;0;7;1;0;30;33.7;18
31;;29/12/2023;19-359;SAS;Away;POR;-6;Inactive;0;;;;;;;;;;;;;;;;;;;;
32;28;31/12/2023;19-361;SAS;Home;BOS;-33;1;24;8;16;.500;3;8;.375;2;2;1.000;2;5;7;3;0;1;3;0;21;15.7;-23
33;29;02/01/2024;19-363;SAS;Away;MEM;-8;1;26;8;16;.500;2;5;.400;2;4;.500;0;7;7;1;0;4;1;0;20;15.8;-12
34;30;04/01/2024;20-000;SAS;Home;MIL;-4;1;26;10;18;.556;2;8;.250;5;6;.833;3;6;9;1;1;5;5;5;27;20.1;-11
35;31;07/01/2024;20-003;SAS;Away;CLE;-2;1;25;6;13;.462;2;5;.400;10;11;.909;0;10;10;3;1;5;3;3;24;22.3;17
36;32;10/01/2024;20-006;SAS;Away;DET;22;1;21;6;16;.375;0;4;.000;4;5;.800;3;9;12;10;0;0;0;1;16;18.2;15
37;33;12/01/2024;20-008;SAS;Home;CHO;36;1;20;9;14;.643;2;3;.667;6;6;1.000;3;8;11;1;0;2;3;2;26;22.6;22
38;;13/01/2024;20-009;SAS;Home;CHI;-6;Inactive;0;;;;;;;;;;;;;;;;;;;;
39;34;15/01/2024;20-011;SAS;Away;ATL;-10;1;27;12;18;.667;1;5;.200;1;1;1.000;2;11;13;2;2;5;3;2;26;26.0;-2
40;35;17/01/2024;20-013;SAS;Away;BOS;-19;1;27;10;19;.526;2;6;.333;5;6;.833;2;3;5;1;0;1;5;2;27;15.2;-14
41;;19/01/2024;20-015;SAS;Away;CHO;-4;Inactive;0;;;;;;;;;;;;;;;;;;;;
42;36;20/01/2024;20-016;SAS;Away;WAS;4;1;28;10;21;.476;2;5;.400;2;4;.500;1;7;8;4;0;6;6;3;24;15.1;4
43;37;22/01/2024;20-018;SAS;Away;PHI;-10;1;28;10;19;.526;2;5;.400;11;12;.917;3;4;7;2;0;2;1;5;33;26.4;0
44;38;24/01/2024;20-020;SAS;Away;OKC;-26;1;28;9;18;.500;0;3;.000;6;8;.750;6;6;12;4;1;4;3;2;24;23.0;-11
45;39;26/01/2024;20-022;SAS;Home;POR;16;1;29;7;18;.389;3;7;.429;6;6;1.000;3;9;12;4;2;2;7;1;23;16.8;23
46;40;27/01/2024;20-023;SAS;Home;MIN;1;1;30;9;17;.529;3;6;.500;2;5;.400;0;10;10;6;2;2;6;3;23;16.9;19
47;41;29/01/2024;20-025;SAS;Home;WAS;-5;1;31;9;19;.474;0;4;.000;4;4;1.000;3;8;11;4;1;3;4;1;22;18.3;-12
48;42;31/01/2024;20-027;SAS;Home;ORL;-10;1;30;7;15;.467;2;5;.400;5;5;1.000;0;8;8;3;2;5;3;3;21;19.1;-8
49;43;02/02/2024;20-029;SAS;Home;NOP;-1;1;28;7;14;.500;0;3;.000;2;2;1.000;5;9;14;7;2;3;6;2;16;17.4;-9
50;44;03/02/2024;20-030;SAS;Home;CLE;-16;1;27;5;16;.313;2;4;.500;7;8;.875;4;10;14;3;2;2;3;0;19;17.7;10
51;45;07/02/2024;20-034;SAS;Away;MIA;-12;1;28;7;13;.538;3;5;.600;1;3;.333;0;13;13;3;1;1;3;1;18;15.2;-12
52;46;08/02/2024;20-035;SAS;Away;ORL;-16;1;23;6;12;.500;2;4;.500;1;1;1.000;0;1;1;2;1;3;5;1;15;8.4;-11
53;47;10/02/2024;20-037;SAS;Away;BRK;-20;1;29;7;16;.438;3;6;.500;4;4;1.000;0;4;4;3;0;1;4;2;21;11.8;-20
54;48;12/02/2024;20-039;SAS;Away;TOR;23;1;29;10;14;.714;2;4;.500;5;6;.833;2;12;14;5;2;10;7;2;27;30.5;20
55;49;14/02/2024;20-041;SAS;Away;DAL;-23;1;27;10;21;.476;2;6;.333;4;5;.800;3;6;9;5;1;3;2;0;26;23.4;-9
56;50;22/02/2024;20-049;SAS;Away;SAC;-5;1;31;8;21;.381;1;6;.167;2;3;.667;5;8;13;4;5;5;1;1;19;22.9;0
57;51;23/02/2024;20-050;SAS;Away;LAL;-5;1;31;7;16;.438;3;8;.375;10;11;.909;1;9;10;8;5;5;2;3;27;32.5;0
58;52;25/02/2024;20-052;SAS;Away;UTA;-19;1;27;9;17;.529;1;3;.333;3;4;.750;2;8;10;2;1;5;4;1;22;18.6;-2
59;53;27/02/2024;20-054;SAS;Away;MIN;-9;1;34;5;13;.385;2;7;.286;5;5;1.000;1;12;13;5;2;4;5;5;17;15.5;2
60;54;29/02/2024;20-056;SAS;Home;OKC;14;1;32;9;17;.529;5;7;.714;5;7;.714;3;10;13;7;2;5;2;2;28;31.6;17
